Latitude,Longitude,Entry,Name,Type,startdate,enddate,Architecture,Sculpture,Painting,Mosaic,Artifact,BartoliDrawing,Commissioner,Excavator,Owner,Collector,Entry Text,Notes,,,,,,,,,,,,,,,
41.8898373,12.4997985,1,Orto di SS. Apostoli,Garden,1652,1654,yes,yes,no,no,no,,Menghini,Agostini,Lelio Orsini,Barberini,"1. Nell'orto de' Ss. Apostoli vicino a s. Clemente fu cavato da Legnardo Agostini, ad istanza dell'eccellentissimo D. Lelio Orsini; ove tra la quantità de'grandissimi marmi preziosi in ogni genere, vi fu anche trovato in pochi giorni un numero di quarantadue statue. Si rese cospicua una porta nel proprio essere col suo architrave ; e dalla bellissima iscrizione, che vi era, la quale fu posseduta dall' eminentissimo Barberini, che oggi si stima abbia mutata forma, si giudicò essere stato il palazzo di uno delli trenta tiranni dell' imperio, il nome del quale non mi ricordo.",,,,,,,,,,,,,,,,
41.88882205,12.50291571,2, SS. Pietro e Marcellino,Church,1653,1653,yes,no,no,no,no,,Menghini,,,Cassiano dal Pozzo,"2. Ss. Pietro, e Marcellino. Più oltre dalla parte di dietro Ss. Pietro, e Marcellino, quasi nel medesimo tempo fu trovato nel cavarsi un tempio egizio, le figure del quale furono fatte disegnare dalla gloriosa memoria del cavalier Cassiano del Pozzo, mecenate de suoi
tempi i che altrimente così questa, come altre memorie sarebbero affatto spente.",,,,,,,,,,,,,,,,
41.8926861,12.4993334,3,Colosseum [Orto di Signora de Nobili],Garden,,,yes,yes,yes,no,no,maybe,,,Signora de Nobili,,"3. Coliseo. Facendosi la cava nell' orto di una tal signora de Nobili, nella parte settentrionale del Coliseo, furono trovate diverse stanze sotterranee, tutte nobilmente adornate di marmi, pitture, fontane, e ftatue, oltre quantità grande di condotti di piombo, che fecero conoscere essere luogo di gran considerazione, e delizie.",,,,,,,,,,,,,,,,
41.8905874,12.4964947,4,Orto de' Gualtieri/Baths of Titus,Hill,1655,1667,no,no,no,no,no,,Agostini,Valerio,Gualtieri,Camillo Massimo,"4. Contiguo all' orto de Gualtieri, nel vicolo di S. Clemente , fu cavato da un tal Valerio, allora affittuario , ove trovò portici di colonne nobilissime, parte nel proprio essere, ed altre per terra, e rotte; diverse di giallo, verde, ed africano, un Ercole, un Meleagro, e la moglie di Settimio Severo, quali tutte ebbe il card. de' Massimi.",,,,,,,,,,,,,,,,
41.8888346,12.4883964,5,Monte Palatino,Hill,1623,1644,Yes,Yes,no,no,yes,,Compagno,,,Francesco Barberini,"5. Monte Palatino. Nel fabbricarsi il monastero di s. Bonaventura nel monte Palatino furono trovati molti nobili edifizi con pavimenti di alabastro orientale, frammenti di statue, e busti, tra quali uno di eccellentissima maniera, quale ebbe il cardinal Francesco Barberini, per essere loro benefattore. Fu notato la più parte delli detti edifizi essere conserve di acque pensili, una delle quali serve di refettorio alli detti Padri. Vi fu anche trovata in un gran pezzo di condotto di piombo una chiave di metallo corintio di peso libbre sino a novanta (a).",,,,,,,,,,,,,,,,
41.888436,12.487105,6,Palatine Hill,Hill,1644,1655,yes,no,no,no,no,,Menghini,,Mattei,Camillo Massimo,"6. Nel monte Palatino, per racconto del duca Mattei a monsignor de' Massimi, quale è padrone del giardino, in una parte del detto monte, fu fatto cavare in tempo d'Innocenzo X.  e tra le altre cose vi fu trovata una grandissima stanza, ovvero sala, tutta addobbata di arazzi intessuti di oro, li quali nel sentire gli effetti dell'aria si risolsero in nulla.",,,,,,,,,,,,,,,,
41.8885558,12.4874776,7,Palatine,Hill,1655,1667,yes,no,no,no,yes,,Agostini,,Mattei,"Palombo, servant of Cardinal Nini","7. Nel medesimo giardino fu cavato in tempo di Alessandro VII., ove si trovarono colonne scannella.te di giallo antico preziosissime, alcune statue in frammenti; e tra le altre cose una stanza foderata di lamine sottilissime di argento, che all'apparenza avevano di sopra ornamenti più preziosi; le quali dall' ignoranza de cavatori non conosciute, la più parte furono vendute ad uso di ferri vecchi ad un tal Palombo della famiglia de' servitori del cardinal Nini.",,,,,,,,,,,,,,,,
41.888412,12.4875634,8,Palatine,Hill,1655,1667,no,yes,no,no,no,,Agostini,,Mattei,,"8. Nel medesimo tempo, contiguo all' officina dell'alume furono cavate quantità di statue, e marmi di diverse sorti, finissimi, e di gran perfezione.",,,,,,,,,,,,,,,,
41.8875731,12.4912673,9,San Gregorio al Celio,Church,1639,1639,yes,yes,yes,no,yes,yes,Compagno,,S Gregorio,Cardinal Chigi,"9. S. Gregorio. Nell'orto di rincontro s. Gregorio, de signori Cornovaglia, si è cavato gran tempo; ove si sono veduti edifizi maravigliosi, stanze sotterranee dipinte, portici di colonnati, pilastri grandissimi di travertini, statue, Termini, busti, quantità grandissima di metalli; e tra le altre cose una cassetta di ferro con tutti gl'istrumenti da sagrifizio, un leone di porfido, il quale fu vendutò al cardinal Ghigi: ma quello, che si rese più cospicuo, fu una stanza di dodici palmi in circa con il pavimento foderato di piombo, quale si sollevava alle pareti da un palmo in circa: e perchè tra il detto piombo, ed il muro, ove si era un poco discostato, fu trovata quantità di moneta di oro; fu
giudicato questi potesse essere l'erario de' Cesari, ovvero di gran personaggio (a).",,,,,,,,,,,,,,,,
41.8863361,12.4903106,10,Piazza di San Gregorio,Piazza,,,yes,no,no,no,yes,,,,S Gregorio,,"10. Nella piazza di s. Gregorio nel cantone per andare alla Marrana furono trovate due colonne scannellate in piedi, ove si dubita, che anche vi fosse trovato un ripostino di monete; sotto del qual sito si scoperse un grandissimo stanzone quasi ripieno di acqua, ove vi furono buttate una grandissima quantità di carrettate di terra.",,,,,,,,,,,,,,,,
